ID,target,variant,source
be53872196b3ae1d.jpg,3,original,
be53872196b3ae1d_aug_clahe.jpg,3,clahe,be53872196b3ae1d.jpg
be53872196b3ae1d_aug_motion_blur.jpg,3,motion_blur,be53872196b3ae1d.jpg
be53872196b3ae1d_aug_iso_noise.jpg,3,iso_noise,be53872196b3ae1d.jpg
be53872196b3ae1d_aug_perspective.jpg,3,perspective,be53872196b3ae1d.jpg
f0fc4e2f239e236b.jpg,13,original,
f0fc4e2f239e236b_aug_clahe.jpg,13,clahe,f0fc4e2f239e236b.jpg
f0fc4e2f239e236b_aug_motion_blur.jpg,13,motion_blur,f0fc4e2f239e236b.jpg
f0fc4e2f239e236b_aug_iso_noise.jpg,13,iso_noise,f0fc4e2f239e236b.jpg
f0fc4e2f239e236b_aug_perspective.jpg,13,perspective,f0fc4e2f239e236b.jpg
f176f6c25b7bd8ae.jpg,13,original,
f176f6c25b7bd8ae_aug_clahe.jpg,13,clahe,f176f6c25b7bd8ae.jpg
f176f6c25b7bd8ae_aug_motion_blur.jpg,13,motion_blur,f176f6c25b7bd8ae.jpg
f176f6c25b7bd8ae_aug_iso_noise.jpg,13,iso_noise,f176f6c25b7bd8ae.jpg
f176f6c25b7bd8ae_aug_perspective.jpg,13,perspective,f176f6c25b7bd8ae.jpg
