,count,unique,top,freq,mean,std,min,25%,50%,75%,max
image_id,1581,1581,002f99746285dfdd,1,,,,,,,
file_path,1581,1581,/root/Computer_Vision_Contest-Private-/data/raw/train/002f99746285dfdd.jpg,1,,,,,,,
file_size_bytes,1581.0,,,,78841.2707147375,21762.915465059486,24620.0,63665.0,77016.0,92389.0,167154.0
load_error,1581,1,False,1581,,,,,,,
width,1581.0,,,,497.23339658444024,79.22379324172638,384.0,443.0,443.0,591.0,753.0
height,1581.0,,,,538.5370018975332,75.93665366935367,348.0,443.0,591.0,591.0,682.0
aspect_ratio,1581.0,,,,0.968473720487974,0.3224476274901259,0.5630498533724341,0.7495769881556683,0.7495769881556683,1.3340857787810383,2.163793103448276
pixel_count,1581.0,,,,261780.1796331436,120.3370556063976,261184.0,261813.0,261813.0,261813.0,262144.0
brightness_mean,1581.0,,,,148.4736406243825,35.55876363039678,16.98916402164904,126.87241275261351,156.60493558379454,174.16450290856451,240.35834737006948
brightness_std,1581.0,,,,47.46324116707994,19.137510914527333,13.709010951609514,33.42862567169332,41.271683543605384,58.368979654107356,114.22963801973036
laplacian_var,1581.0,,,,1353.6566150281328,822.3806472550715,69.94759337372692,764.1900977885989,1194.2366480847438,1792.5028677171656,4954.795852770623
colorfulness,1581.0,,,,16.44364277325726,14.221251797043934,1.049976110458374,5.726191997528076,12.282916069030762,23.14130401611328,100.21170043945312
channel_mean_std,1581.0,,,,47.645745372800036,19.1791624794233,13.676695988973782,33.48713954477027,41.240355298952615,59.01811666906891,113.56670006008333
gray_proxy,1581.0,,,,0.04198552714773149,0.03957747190372516,0.0013488147772994696,0.014919614791870118,0.03148481331619562,0.05420633577832989,0.38945348403033087
edge_density,1581.0,,,,0.08229667991408754,0.04636886647001659,0.002035804180846635,0.04955905861116847,0.07188718665612479,0.11156436082241905,0.25994889482187666
qr_seal_score,1581.0,,,,89.11770344522274,46.903488788883074,0.0019097673139504682,55.04303673569265,83.07863657891923,125.11877224878921,202.24094911937377
text_component_count,1581.0,,,,166.0708412397217,145.163600560573,1.0,59.0,127.0,227.0,1298.0
text_area_ratio,1581.0,,,,0.2953315005825242,0.22804422183264675,0.012757196930633697,0.11701863543827083,0.2402592690202549,0.3984828866404648,0.9998892339188657
margin_ratio,1581.0,,,,0.7446944076603069,0.22351080799463222,0.035750707566087225,0.649463474242945,0.8163114766629466,0.9164594577045448,0.9884841470820777
bbox_area_ratio,1581.0,,,,0.1790644567346176,0.21565095301437473,0.003025059870976613,0.022840729833889073,0.11103344753698251,0.22724998376703984,0.9625878012168991
bbox_center_x,1581.0,,,,0.482569558111187,0.17489513703792678,0.006772009029345372,0.435665914221219,0.5,0.510158013544018,0.9943566591422122
bbox_center_y,1581.0,,,,0.5211977374146227,0.17617117282900813,0.011844331641285956,0.4560067681895093,0.5,0.5820642978003384,0.9805414551607445
rotation_offset_deg,1581.0,,,,-0.35020029517183293,13.314720531655446,-15.0,-13.833333333333334,-10.333333333333334,13.833333333333332,15.0
jpeg_blockiness,1581.0,,,,5.774668533805048,2.541224246859401,0.4869071841239929,3.988579750061035,5.443826675415039,7.250699996948242,19.303359985351562
bytes_per_pixel,1581.0,,,,0.3011781053416374,0.08315047154408592,0.09403658336293462,0.24316974329005817,0.29416415533224094,0.35288545641354707,0.6384480526177081
