ks_stat,ks_pvalue,wasserstein,feature,fold
0.029819409672368888,0.9841299972218148,3.855166990137157,width,0
0.029240359034527378,0.9872951466196913,4.57802337876791,width,1
0.03346558564774883,0.9531752582297512,5.642243114254503,width,2
0.02741442461935099,0.9939076027424829,3.222266313614864,width,3
0.018565637398654477,0.99999599141813,1.4967727560232382,width,4
0.05661809459024023,0.442459763520799,9.113742198035624,width,5
0.029179683648266126,0.9873993115072599,3.4322166987732134,height,0
0.029240359034527378,0.9872951466196913,4.250076046178136,height,1
0.03346558564774883,0.9531752582297512,5.308751653153932,height,2
0.02741442461935099,0.9939076027424829,2.9275474202927825,height,3
0.019198148467598184,0.9999903458922668,1.4062517969064443,height,4
0.05661809459024023,0.442459763520799,8.830467938849305,height,5
0.029819409672368888,0.9841299972218148,0.016353839695581053,aspect_ratio,0
0.029240359034527378,0.9872951466196913,0.019053937354365606,aspect_ratio,1
0.03346558564774883,0.9531752582297512,0.023252902887397692,aspect_ratio,2
0.02741442461935099,0.9939076027424829,0.013532311179059155,aspect_ratio,3
0.019198148467598184,0.9999903458922668,0.006266334605310371,aspect_ratio,4
0.05661809459024023,0.442459763520799,0.03689434207998499,aspect_ratio,5
0.05686346659355512,0.4407604105770196,1567.870592564267,file_size_bytes,0
0.06240373519513691,0.33002578606702754,1892.3853151208768,file_size_bytes,1
0.07001466275659823,0.20623336315293497,2894.069058708527,file_size_bytes,2
0.04411704581256028,0.7524495442757977,2020.7240159402406,file_size_bytes,3
0.045979242136737396,0.7044831710085983,1654.2626574090045,file_size_bytes,4
0.07603737782392324,0.13673993475217733,2148.527793491103,file_size_bytes,5
0.01084648258911071,1.0,3.1638468216920024,pixel_count,0
0.03290988890015499,0.9603160742139683,9.840474431584997,pixel_count,1
0.027528606750618134,0.9934225838715767,7.052189350813641,pixel_count,2
0.030245092026753052,0.9814814702460495,9.626450506610105,pixel_count,3
0.01413805991604853,0.9999999997629813,4.883251394399399,pixel_count,4
0.030940532025348178,0.9762502494197232,7.469304118482447,pixel_count,5
0.05012469847499898,0.6023065709289551,2.810999219749375,brightness_mean,0
0.03994959224763533,0.849258810348386,2.284950742479184,brightness_mean,1
0.03990569834972112,0.8479116144138736,1.3654800312494362,brightness_mean,2
0.02975928504604344,0.9843820928924097,1.6487863578747,brightness_mean,3
0.04702144787533782,0.6788394838940498,2.141554099707604,brightness_mean,4
0.06752354015251871,0.23951815960833667,2.883533418042113,brightness_mean,5
0.06906155078246189,0.2206087332985369,2.0697169409036222,brightness_std,0
0.043660162907812716,0.7656034715582971,1.6304766987625636,brightness_std,1
0.051829969524466675,0.5575454781902928,0.8465328275335214,brightness_std,2
0.04083905118529688,0.8289442175210471,1.0769220236484445,brightness_std,3
0.0656445862802599,0.2702253149276984,1.2548741090874045,brightness_std,4
0.08226462831024071,0.08696997258990415,2.262684020632904,brightness_std,5
0.06479991726851418,0.2859252927555305,84.82793443767261,laplacian_var,0
0.03575618871040167,0.9246675709527507,40.80862008824296,laplacian_var,1
0.05353343683514462,0.515664375537856,71.25040353036142,laplacian_var,2
0.05626703030040668,0.4541490365901386,52.81816271212346,laplacian_var,3
0.03606031855557472,0.9184397030085962,48.64107955331181,laplacian_var,4
0.030637404079099685,0.9783793372661861,33.5470225161844,laplacian_var,5
0.04540611780097787,0.7206442088061753,0.8559972990965796,colorfulness,0
0.04488897257992091,0.7357807027947681,1.2205124393469353,colorfulness,1
0.058751653153930196,0.3982408201744557,1.169634707788294,colorfulness,2
0.04785198759989707,0.6593352938858843,0.935911048848927,colorfulness,3
0.053245931803806566,0.5232541169236528,1.516663897777636,colorfulness,4
0.03807716635041113,0.8825717149782617,0.6072349475271808,colorfulness,5
0.07109857312236804,0.19368190524801487,0.020363220364348882,margin_ratio,0
0.05394208902472587,0.5104112761361977,0.013907022279860319,margin_ratio,1
0.030913978494623656,0.976713064644331,0.007165575198147805,margin_ratio,2
0.05891251385872637,0.39686822089114626,0.012333149153513316,margin_ratio,3
0.05819820596860445,0.41005607029542646,0.018183879703125787,margin_ratio,4
0.09403410786103851,0.03355203894113409,0.022109229052952428,margin_ratio,5
0.03395357897850665,0.9480412777715846,0.16556798932828007,rotation_offset_deg,0
0.06372186894950051,0.30616714425705294,1.2652872936090627,rotation_offset_deg,1
0.028714565004887584,0.9892383176817581,0.305333937093899,rotation_offset_deg,2
0.027342275067760453,0.9941136203617035,0.3890476179023889,rotation_offset_deg,3
0.025566384911735955,0.9975361201943747,0.1601426983305545,rotation_offset_deg,4
0.037781198906829926,0.8880669394390305,0.5996924961910106,rotation_offset_deg,5
0.039343150482319754,0.8606319438344593,0.0021413189470723413,edge_density,0
0.02854266552718108,0.9902881315957892,0.001810317517044938,edge_density,1
0.04666925421194871,0.6872147532173438,0.0048042358750539724,edge_density,2
0.06348439044451339,0.3086360064909819,0.004071161190076833,edge_density,3
0.04828647001322523,0.6467383103612713,0.0028879845234025844,edge_density,4
0.03480720346568329,0.9357852885214099,0.003171771016213686,edge_density,5
0.07800569019463544,0.12107005019697163,0.02195822174487223,text_area_ratio,0
0.05817411919212403,0.4145342311384666,0.015025731945345535,text_area_ratio,1
0.042191363348858604,0.7965629654677745,0.010371519091927581,text_area_ratio,2
0.0552473166379271,0.47790532673479713,0.012455017368655676,text_area_ratio,3
0.05176528089241562,0.5589512985512719,0.018815390105772642,text_area_ratio,4
0.07676297542754168,0.12997736285282505,0.021630512354837397,text_area_ratio,5
0.032659697019983024,0.9622713742355773,5.493358633776088,text_component_count,0
